距离,射速
1.2,32400.0
1.2014014014014014,32412.25783637595
1.2028028028028028,32424.538145105387
1.2042042042042043,32436.840975488467
1.2056056056056055,32449.166376825327
1.207007007007007,32461.51439841612
1.2084084084084084,32473.885089560983
1.2098098098098098,32486.278499560067
1.2112112112112112,32498.694677713513
1.2126126126126127,32511.133673321467
1.2140140140140139,32523.59553568407
1.2154154154154153,32536.080314101477
1.2168168168168167,32548.588057873825
1.2182182182182182,32561.118816301263
1.2196196196196196,32573.672638683933
1.221021021021021,32586.249574321977
1.2224224224224223,32598.849672515542
1.2238238238238237,32611.472982564777
1.2252252252252251,32624.119553769833
1.2266266266266266,32636.789435430837
1.228028028028028,32649.482676847947
1.2294294294294295,32662.1993273213
1.230830830830831,32674.939436151053
1.232232232232232,32687.703052637335
1.2336336336336335,32700.4902260803
1.235035035035035,32713.301005780097
1.2364364364364364,32726.135441036866
1.2378378378378379,32738.993581150746
1.2392392392392393,32751.87547542189
1.2406406406406405,32764.78117315044
1.242042042042042,32777.71072363654
1.2434434434434434,32790.66417618035
1.2448448448448448,32803.64158008199
1.2462462462462462,32816.642984641614
1.2476476476476477,32829.66843915937
1.2490490490490491,32842.71799293541
1.2504504504504503,32855.791695269865
1.2518518518518518,32868.8895954629
1.2532532532532532,32882.01174281462
1.2546546546546546,32895.158186625216
1.256056056056056,32908.328976194796
1.2574574574574575,32921.52416082354
1.2588588588588587,32934.74378981157
1.2602602602602602,32947.98791245902
1.2616616616616616,32961.25657806607
1.263063063063063,32974.54983593284
1.2644644644644645,32987.86773535948
1.265865865865866,33001.210325646134
1.2672672672672671,33014.577656092944
1.2686686686686686,33027.96977600007
1.27007007007007,33041.38673466764
1.2714714714714714,33054.82858139581
1.2728728728728729,33068.295365484715
1.2742742742742743,33081.7871362345
1.2756756756756755,33095.30394294533
1.277077077077077,33108.84583491732
1.2784784784784784,33122.41286145064
1.2798798798798798,33136.00507184542
1.2812812812812813,33149.62251540181
1.2826826826826827,33163.26524141995
1.2840840840840841,33176.9332992
1.2854854854854854,33190.62673804208
1.2868868868868868,33204.34560724637
1.2882882882882882,33218.08995611297
1.2896896896896897,33231.85983394206
1.291091091091091,33245.655290033785
1.2924924924924925,33259.47637368827
1.2938938938938938,33273.32313420567
1.2952952952952952,33287.19562088611
1.2966966966966966,33301.093883029775
1.298098098098098,33315.01796993679
1.2994994994994995,33328.96793090729
1.300900900900901,33342.94381524144
1.3023023023023024,33356.94567223936
1.3037037037037036,33370.973551201205
1.305105105105105,33385.02750142715
1.3065065065065065,33399.10757221729
1.307907907907908,33413.21381287179
1.3093093093093093,33427.34627269081
1.3107107107107108,33441.50500097448
1.312112112112112,33455.69004702295
1.3135135135135134,33469.90146013636
1.3149149149149149,33484.13928961486
1.3163163163163163,33498.4035847586
1.3177177177177177,33512.6943948677
1.3191191191191192,33527.01176924234
1.3205205205205206,33541.35575718264
1.3219219219219218,33555.72640798875
1.3233233233233233,33570.12377096082
1.3247247247247247,33584.54789539899
1.3261261261261261,33598.998830603414
1.3275275275275276,33613.476625874224
1.3289289289289288,33627.98133051157
1.3303303303303302,33642.5129938156
1.3317317317317316,33657.071665086456
1.333133133133133,33671.65739362429
1.3345345345345345,33686.27022872924
1.335935935935936,33700.91021970144
1.3373373373373374,33715.577415841064
1.3387387387387386,33730.27186644823
1.34014014014014,33744.99362082309
1.3415415415415415,33759.7427282658
1.342942942942943,33774.51923807649
1.3443443443443444,33789.323199555314
1.3457457457457458,33804.15466200242
1.347147147147147,33819.013674717935
1.3485485485485484,33833.90028700202
1.3499499499499499,33848.81454815483
1.3513513513513513,33863.75650747647
1.3527527527527528,33878.726214267124
1.3541541541541542,33893.72371782693
1.3555555555555556,33908.74906745602
1.3569569569569568,33923.80231245455
1.3583583583583583,33938.88350212266
1.3597597597597597,33953.99268576049
1.3611611611611611,33969.1299126682
1.3625625625625626,33984.29523214591
1.363963963963964,33999.4886934938
1.3653653653653652,34014.71034601198
1.3667667667667667,34029.96023900061
1.368168168168168,34045.23842175985
1.3695695695695695,34060.54494358982
1.370970970970971,34075.87985379068
1.3723723723723724,34091.24320166256
1.3737737737737739,34106.63503650563
1.375175175175175,34122.05540762
1.3765765765765765,34137.504364305845
1.377977977977978,34152.9819558633
1.3793793793793794,34168.48823159251
1.3807807807807808,34184.02324079363
1.382182182182182,34199.58703276677
1.3835835835835835,34215.17965681211
1.384984984984985,34230.8011622298
1.3863863863863863,34246.45159831995
1.3877877877877878,34262.13101438273
1.3891891891891892,34277.83945971828
1.3905905905905906,34293.57698362674
1.391991991991992,34309.34363540827
1.3933933933933933,34325.139464363
1.3947947947947947,34340.964519791065
1.3961961961961962,34356.81885099264
1.3975975975975976,34372.702507267844
1.398998998998999,34388.61553791684
1.4004004004004003,34404.55799223975
1.4018018018018017,34420.52991953675
1.4032032032032031,34436.531369107965
1.4046046046046046,34452.56239025354
1.406006006006006,34468.623032273616
1.4074074074074074,34484.71334446836
1.4088088088088089,34500.83337613789
1.41021021021021,34516.98317658237
1.4116116116116115,34533.162795101925
1.413013013013013,34549.37228099673
1.4144144144144144,34565.61168356691
1.4158158158158158,34581.88105211261
1.4172172172172173,34598.18043593397
1.4186186186186185,34614.50988433115
1.42002002002002,34630.869446604294
1.4214214214214214,34647.259172053535
1.4228228228228228,34663.679109979006
1.4242242242242242,34680.129309680895
1.4256256256256257,34696.60982045931
1.427027027027027,34713.12069161441
1.4284284284284283,34729.66197244632
1.4298298298298298,34746.23371225523
1.4312312312312312,34762.83596034125
1.4326326326326326,34779.468766004524
